lam	flux	sigma
7.600976e+03 0.000000e+00 0.000000e+00
7.604789e+03 0.000000e+00 0.000000e+00
7.608605e+03 0.000000e+00 0.000000e+00
7.612422e+03 0.000000e+00 0.000000e+00
7.616242e+03 0.000000e+00 0.000000e+00
7.620063e+03 0.000000e+00 0.000000e+00
7.623886e+03 0.000000e+00 0.000000e+00
7.627711e+03 0.000000e+00 0.000000e+00
7.631538e+03 0.000000e+00 0.000000e+00
7.635367e+03 0.000000e+00 0.000000e+00
7.639198e+03 0.000000e+00 0.000000e+00
7.643030e+03 0.000000e+00 0.000000e+00
7.646865e+03 0.000000e+00 0.000000e+00
7.650702e+03 0.000000e+00 0.000000e+00
7.654540e+03 0.000000e+00 0.000000e+00
7.658381e+03 0.000000e+00 0.000000e+00
7.662223e+03 0.000000e+00 0.000000e+00
7.666067e+03 0.000000e+00 0.000000e+00
7.669913e+03 0.000000e+00 0.000000e+00
7.673762e+03 0.000000e+00 0.000000e+00
7.677612e+03 0.000000e+00 0.000000e+00
7.681464e+03 0.000000e+00 0.000000e+00
7.685318e+03 0.000000e+00 0.000000e+00
7.689174e+03 0.000000e+00 0.000000e+00
7.693031e+03 0.000000e+00 0.000000e+00
7.696891e+03 0.000000e+00 0.000000e+00
7.700753e+03 0.000000e+00 0.000000e+00
7.704616e+03 0.000000e+00 0.000000e+00
7.708482e+03 0.000000e+00 0.000000e+00
7.712350e+03 0.000000e+00 0.000000e+00
7.716219e+03 0.000000e+00 0.000000e+00
7.720090e+03 0.000000e+00 0.000000e+00
7.723964e+03 0.000000e+00 0.000000e+00
7.727839e+03 0.000000e+00 0.000000e+00
7.731716e+03 0.000000e+00 0.000000e+00
7.735595e+03 0.000000e+00 0.000000e+00
7.739476e+03 0.000000e+00 0.000000e+00
7.743359e+03 0.000000e+00 0.000000e+00
7.747244e+03 0.000000e+00 0.000000e+00
7.751131e+03 0.000000e+00 0.000000e+00
7.755020e+03 0.000000e+00 0.000000e+00
7.758911e+03 0.000000e+00 0.000000e+00
7.762804e+03 0.000000e+00 0.000000e+00
7.766699e+03 0.000000e+00 0.000000e+00
7.770595e+03 0.000000e+00 0.000000e+00
7.774494e+03 0.000000e+00 0.000000e+00
7.778395e+03 0.000000e+00 0.000000e+00
7.782297e+03 0.000000e+00 0.000000e+00
7.786202e+03 0.000000e+00 0.000000e+00
7.790108e+03 0.000000e+00 0.000000e+00
7.794017e+03 0.000000e+00 0.000000e+00
7.797927e+03 0.000000e+00 0.000000e+00
7.801840e+03 0.000000e+00 0.000000e+00
7.805754e+03 0.000000e+00 0.000000e+00
7.809670e+03 0.000000e+00 0.000000e+00
7.813589e+03 0.000000e+00 0.000000e+00
7.817509e+03 0.000000e+00 0.000000e+00
7.821431e+03 0.000000e+00 0.000000e+00
7.825355e+03 0.000000e+00 0.000000e+00
7.829281e+03 0.000000e+00 0.000000e+00
7.833209e+03 0.000000e+00 0.000000e+00
7.837139e+03 0.000000e+00 0.000000e+00
7.841072e+03 0.000000e+00 0.000000e+00
7.845006e+03 0.000000e+00 0.000000e+00
7.848942e+03 0.000000e+00 0.000000e+00
7.852880e+03 0.000000e+00 0.000000e+00
7.856819e+03 0.000000e+00 0.000000e+00
7.860761e+03 0.000000e+00 0.000000e+00
7.864705e+03 0.000000e+00 0.000000e+00
7.868651e+03 0.000000e+00 0.000000e+00
7.872599e+03 0.000000e+00 0.000000e+00
7.876549e+03 0.000000e+00 0.000000e+00
7.880501e+03 0.000000e+00 0.000000e+00
7.884455e+03 0.000000e+00 0.000000e+00
7.888410e+03 0.000000e+00 0.000000e+00
7.892368e+03 0.000000e+00 0.000000e+00
7.896328e+03 0.000000e+00 0.000000e+00
7.900290e+03 0.000000e+00 0.000000e+00
7.904253e+03 0.000000e+00 0.000000e+00
7.908219e+03 0.000000e+00 0.000000e+00
7.912187e+03 0.000000e+00 0.000000e+00
7.916157e+03 0.000000e+00 0.000000e+00
7.920128e+03 0.000000e+00 0.000000e+00
7.924102e+03 0.000000e+00 0.000000e+00
7.928078e+03 0.000000e+00 0.000000e+00
7.932055e+03 0.000000e+00 0.000000e+00
7.936035e+03 0.000000e+00 0.000000e+00
7.940017e+03 0.000000e+00 0.000000e+00
7.944000e+03 0.000000e+00 0.000000e+00
7.947986e+03 0.000000e+00 0.000000e+00
7.951974e+03 0.000000e+00 0.000000e+00
7.955963e+03 0.000000e+00 0.000000e+00
7.959955e+03 0.000000e+00 0.000000e+00
7.963949e+03 0.000000e+00 0.000000e+00
7.967944e+03 0.000000e+00 0.000000e+00
7.971942e+03 0.000000e+00 0.000000e+00
7.975942e+03 0.000000e+00 0.000000e+00
7.979943e+03 0.000000e+00 0.000000e+00
7.983947e+03 0.000000e+00 0.000000e+00
7.987953e+03 0.000000e+00 0.000000e+00
7.991960e+03 0.000000e+00 0.000000e+00
7.995970e+03 0.000000e+00 0.000000e+00
7.999982e+03 0.000000e+00 0.000000e+00
8.003996e+03 0.000000e+00 0.000000e+00
8.008011e+03 0.000000e+00 0.000000e+00
8.012029e+03 0.000000e+00 0.000000e+00
8.016049e+03 0.000000e+00 0.000000e+00
8.020071e+03 0.000000e+00 0.000000e+00
8.024095e+03 0.000000e+00 0.000000e+00
8.028121e+03 0.000000e+00 0.000000e+00
8.032148e+03 0.000000e+00 0.000000e+00
8.036178e+03 0.000000e+00 0.000000e+00
8.040210e+03 0.000000e+00 0.000000e+00
8.044244e+03 0.000000e+00 0.000000e+00
8.048280e+03 0.000000e+00 0.000000e+00
8.052318e+03 0.000000e+00 0.000000e+00
8.056358e+03 0.000000e+00 0.000000e+00
8.060400e+03 0.000000e+00 0.000000e+00
8.064444e+03 0.000000e+00 0.000000e+00
8.068490e+03 0.000000e+00 0.000000e+00
8.072538e+03 0.000000e+00 0.000000e+00
8.076589e+03 0.000000e+00 0.000000e+00
8.080641e+03 0.000000e+00 0.000000e+00
8.084695e+03 0.000000e+00 0.000000e+00
8.088751e+03 0.000000e+00 0.000000e+00
8.092810e+03 0.000000e+00 0.000000e+00
8.096870e+03 0.000000e+00 0.000000e+00
8.100932e+03 0.000000e+00 0.000000e+00
8.104997e+03 0.000000e+00 0.000000e+00
8.109063e+03 0.000000e+00 0.000000e+00
8.113132e+03 0.000000e+00 0.000000e+00
8.117202e+03 0.000000e+00 0.000000e+00
8.121275e+03 0.000000e+00 0.000000e+00
8.125349e+03 0.000000e+00 0.000000e+00
8.129426e+03 0.000000e+00 0.000000e+00
8.133505e+03 0.000000e+00 0.000000e+00
8.137585e+03 0.000000e+00 0.000000e+00
8.141668e+03 0.000000e+00 0.000000e+00
8.145753e+03 0.000000e+00 0.000000e+00
8.149840e+03 0.000000e+00 0.000000e+00
8.153929e+03 0.000000e+00 0.000000e+00
8.158020e+03 0.000000e+00 0.000000e+00
8.162113e+03 0.000000e+00 0.000000e+00
8.166208e+03 0.000000e+00 0.000000e+00
8.170305e+03 0.000000e+00 0.000000e+00
8.174404e+03 0.000000e+00 0.000000e+00
8.178506e+03 0.000000e+00 0.000000e+00
8.182609e+03 0.000000e+00 0.000000e+00
8.186714e+03 0.000000e+00 0.000000e+00
8.190822e+03 0.000000e+00 0.000000e+00
8.194931e+03 0.000000e+00 0.000000e+00
8.199043e+03 0.000000e+00 0.000000e+00
8.203157e+03 0.000000e+00 0.000000e+00
8.207272e+03 0.000000e+00 0.000000e+00
8.211390e+03 0.000000e+00 0.000000e+00
8.215510e+03 0.000000e+00 0.000000e+00
8.219632e+03 0.000000e+00 0.000000e+00
8.223756e+03 0.000000e+00 0.000000e+00
8.227882e+03 0.000000e+00 0.000000e+00
8.232010e+03 0.000000e+00 0.000000e+00
8.236140e+03 0.000000e+00 0.000000e+00
8.240272e+03 0.000000e+00 0.000000e+00
8.244406e+03 0.000000e+00 0.000000e+00
8.248543e+03 0.000000e+00 0.000000e+00
8.252681e+03 0.000000e+00 0.000000e+00
8.256822e+03 0.000000e+00 0.000000e+00
8.260964e+03 0.000000e+00 0.000000e+00
8.265109e+03 0.000000e+00 0.000000e+00
8.269256e+03 0.000000e+00 0.000000e+00
8.273405e+03 0.000000e+00 0.000000e+00
8.277556e+03 0.000000e+00 0.000000e+00
8.281709e+03 0.000000e+00 0.000000e+00
8.285864e+03 0.000000e+00 0.000000e+00
8.290021e+03 0.000000e+00 0.000000e+00
8.294180e+03 0.000000e+00 0.000000e+00
8.298342e+03 0.000000e+00 0.000000e+00
8.302505e+03 0.000000e+00 0.000000e+00
8.306671e+03 0.000000e+00 0.000000e+00
8.310838e+03 0.000000e+00 0.000000e+00
8.315008e+03 0.000000e+00 0.000000e+00
8.319180e+03 0.000000e+00 0.000000e+00
8.323354e+03 0.000000e+00 0.000000e+00
8.327530e+03 0.000000e+00 0.000000e+00
8.331708e+03 0.000000e+00 0.000000e+00
8.335888e+03 0.000000e+00 0.000000e+00
8.340070e+03 0.000000e+00 0.000000e+00
8.344255e+03 0.000000e+00 0.000000e+00
8.348441e+03 0.000000e+00 0.000000e+00
8.352630e+03 0.000000e+00 0.000000e+00
8.356820e+03 0.000000e+00 0.000000e+00
8.361013e+03 0.000000e+00 0.000000e+00
8.365208e+03 0.000000e+00 0.000000e+00
8.369405e+03 0.000000e+00 0.000000e+00
8.373604e+03 0.000000e+00 0.000000e+00
8.377805e+03 0.000000e+00 0.000000e+00
8.382009e+03 0.000000e+00 0.000000e+00
8.386214e+03 0.000000e+00 0.000000e+00
8.390422e+03 0.000000e+00 0.000000e+00
8.394631e+03 0.000000e+00 0.000000e+00
8.398843e+03 0.000000e+00 0.000000e+00
8.403057e+03 0.000000e+00 0.000000e+00
8.407273e+03 0.000000e+00 0.000000e+00
8.411491e+03 0.000000e+00 0.000000e+00
8.415711e+03 0.000000e+00 0.000000e+00
8.419934e+03 0.000000e+00 0.000000e+00
8.424158e+03 0.000000e+00 0.000000e+00
8.428385e+03 0.000000e+00 0.000000e+00
8.432613e+03 0.000000e+00 0.000000e+00
8.436844e+03 0.000000e+00 0.000000e+00
8.441077e+03 0.000000e+00 0.000000e+00
8.445312e+03 0.000000e+00 0.000000e+00
8.449549e+03 0.000000e+00 0.000000e+00
8.453789e+03 0.000000e+00 0.000000e+00
8.458030e+03 0.000000e+00 0.000000e+00
8.462274e+03 0.000000e+00 0.000000e+00
8.466519e+03 0.000000e+00 0.000000e+00
8.470767e+03 0.000000e+00 0.000000e+00
8.475017e+03 0.000000e+00 0.000000e+00
8.479269e+03 0.000000e+00 0.000000e+00
8.483523e+03 0.000000e+00 0.000000e+00
8.487780e+03 0.000000e+00 0.000000e+00
8.492038e+03 0.000000e+00 0.000000e+00
8.496299e+03 0.000000e+00 0.000000e+00
8.500562e+03 0.000000e+00 0.000000e+00
8.504827e+03 0.000000e+00 0.000000e+00
8.509094e+03 0.000000e+00 0.000000e+00
8.513363e+03 0.000000e+00 0.000000e+00
8.517634e+03 0.000000e+00 0.000000e+00
8.521908e+03 0.000000e+00 0.000000e+00
8.526183e+03 0.000000e+00 0.000000e+00
8.530461e+03 0.000000e+00 0.000000e+00
8.534741e+03 0.000000e+00 0.000000e+00
8.539023e+03 0.000000e+00 0.000000e+00
8.543307e+03 0.000000e+00 0.000000e+00
8.547594e+03 0.000000e+00 0.000000e+00
8.551882e+03 0.000000e+00 0.000000e+00
8.556173e+03 0.000000e+00 0.000000e+00
8.560466e+03 0.000000e+00 0.000000e+00
8.564760e+03 0.000000e+00 0.000000e+00
8.569058e+03 0.000000e+00 0.000000e+00
8.573357e+03 0.000000e+00 0.000000e+00
8.577658e+03 0.000000e+00 0.000000e+00
8.581962e+03 0.000000e+00 0.000000e+00
8.586268e+03 0.000000e+00 0.000000e+00
8.590576e+03 0.000000e+00 0.000000e+00
8.594886e+03 0.000000e+00 0.000000e+00
8.599198e+03 0.000000e+00 0.000000e+00
8.603512e+03 0.000000e+00 0.000000e+00
8.607829e+03 0.000000e+00 0.000000e+00
8.612147e+03 0.000000e+00 0.000000e+00
8.616468e+03 0.000000e+00 0.000000e+00
8.620791e+03 0.000000e+00 0.000000e+00
8.625117e+03 0.000000e+00 0.000000e+00
8.629444e+03 0.000000e+00 0.000000e+00
8.633774e+03 0.000000e+00 0.000000e+00
8.638105e+03 0.000000e+00 0.000000e+00
8.642439e+03 0.000000e+00 0.000000e+00
8.646775e+03 0.000000e+00 0.000000e+00
8.651114e+03 0.000000e+00 0.000000e+00
8.655454e+03 0.000000e+00 0.000000e+00
8.659797e+03 0.000000e+00 0.000000e+00
8.664142e+03 0.000000e+00 0.000000e+00
8.668488e+03 0.000000e+00 0.000000e+00
8.672838e+03 0.000000e+00 0.000000e+00
8.677189e+03 0.000000e+00 0.000000e+00
8.681543e+03 0.000000e+00 0.000000e+00
8.685898e+03 0.000000e+00 0.000000e+00
8.690256e+03 0.000000e+00 0.000000e+00
8.694616e+03 0.000000e+00 0.000000e+00
8.698978e+03 0.000000e+00 0.000000e+00
8.703343e+03 0.000000e+00 0.000000e+00
8.707710e+03 0.000000e+00 0.000000e+00
8.712078e+03 0.000000e+00 0.000000e+00
8.716449e+03 0.000000e+00 0.000000e+00
8.720823e+03 0.000000e+00 0.000000e+00
8.725198e+03 0.000000e+00 0.000000e+00
8.729576e+03 0.000000e+00 0.000000e+00
8.733955e+03 0.000000e+00 0.000000e+00
8.738337e+03 0.000000e+00 0.000000e+00
8.742722e+03 0.000000e+00 0.000000e+00
8.747108e+03 0.000000e+00 0.000000e+00
8.751497e+03 0.000000e+00 0.000000e+00
8.755887e+03 0.000000e+00 0.000000e+00
8.760280e+03 0.000000e+00 0.000000e+00
8.764676e+03 0.000000e+00 0.000000e+00
8.769073e+03 0.000000e+00 0.000000e+00
8.773473e+03 0.000000e+00 0.000000e+00
8.777875e+03 0.000000e+00 0.000000e+00
8.782279e+03 0.000000e+00 0.000000e+00
8.786685e+03 0.000000e+00 0.000000e+00
8.791093e+03 0.000000e+00 0.000000e+00
8.795504e+03 0.000000e+00 0.000000e+00
8.799917e+03 0.000000e+00 0.000000e+00
8.804332e+03 0.000000e+00 0.000000e+00
8.808749e+03 0.000000e+00 0.000000e+00
8.813169e+03 0.000000e+00 0.000000e+00
8.817591e+03 0.000000e+00 0.000000e+00
8.822015e+03 0.000000e+00 0.000000e+00
8.826441e+03 0.000000e+00 0.000000e+00
8.830869e+03 0.000000e+00 0.000000e+00
8.835300e+03 0.000000e+00 0.000000e+00
8.839733e+03 0.000000e+00 0.000000e+00
8.844168e+03 0.000000e+00 0.000000e+00
8.848605e+03 0.000000e+00 0.000000e+00
8.853045e+03 0.000000e+00 0.000000e+00
8.857486e+03 0.000000e+00 0.000000e+00
8.861930e+03 0.000000e+00 0.000000e+00
8.866376e+03 0.000000e+00 0.000000e+00
8.870825e+03 0.000000e+00 0.000000e+00
8.875276e+03 0.000000e+00 0.000000e+00
8.879728e+03 0.000000e+00 0.000000e+00
8.884184e+03 0.000000e+00 0.000000e+00
8.888641e+03 0.000000e+00 0.000000e+00
8.893101e+03 0.000000e+00 0.000000e+00
8.897562e+03 0.000000e+00 0.000000e+00
8.902027e+03 0.000000e+00 0.000000e+00
8.906493e+03 0.000000e+00 0.000000e+00
8.910961e+03 0.000000e+00 0.000000e+00
8.915432e+03 0.000000e+00 0.000000e+00
8.919905e+03 0.000000e+00 0.000000e+00
8.924381e+03 0.000000e+00 0.000000e+00
8.928858e+03 0.000000e+00 0.000000e+00
8.933338e+03 0.000000e+00 0.000000e+00
8.937820e+03 0.000000e+00 0.000000e+00
8.942304e+03 0.000000e+00 0.000000e+00
8.946791e+03 0.000000e+00 0.000000e+00
8.951280e+03 0.000000e+00 0.000000e+00
8.955771e+03 0.000000e+00 0.000000e+00
8.960264e+03 0.000000e+00 0.000000e+00
8.964759e+03 0.000000e+00 0.000000e+00
8.969257e+03 0.000000e+00 0.000000e+00
8.973757e+03 0.000000e+00 0.000000e+00
8.978260e+03 0.000000e+00 0.000000e+00
8.982764e+03 0.000000e+00 0.000000e+00
8.987271e+03 0.000000e+00 0.000000e+00
8.991780e+03 0.000000e+00 0.000000e+00
8.996292e+03 0.000000e+00 0.000000e+00
9.000805e+03 0.000000e+00 0.000000e+00
9.005321e+03 0.000000e+00 0.000000e+00
9.009839e+03 0.000000e+00 0.000000e+00
9.014360e+03 0.000000e+00 0.000000e+00
9.018882e+03 0.000000e+00 0.000000e+00
9.023407e+03 0.000000e+00 0.000000e+00
9.027935e+03 0.000000e+00 0.000000e+00
9.032464e+03 0.000000e+00 0.000000e+00
9.036996e+03 0.000000e+00 0.000000e+00
9.041530e+03 0.000000e+00 0.000000e+00
9.046066e+03 0.000000e+00 0.000000e+00
9.050605e+03 0.000000e+00 0.000000e+00
9.055146e+03 0.000000e+00 0.000000e+00
9.059689e+03 0.000000e+00 0.000000e+00
9.064234e+03 0.000000e+00 0.000000e+00
9.068782e+03 0.000000e+00 0.000000e+00
9.073332e+03 0.000000e+00 0.000000e+00
9.077884e+03 0.000000e+00 0.000000e+00
9.082439e+03 0.000000e+00 0.000000e+00
9.086996e+03 0.000000e+00 0.000000e+00
9.091555e+03 0.000000e+00 0.000000e+00
9.096116e+03 0.000000e+00 0.000000e+00
9.100680e+03 0.000000e+00 0.000000e+00
